week,code,platform,earnings,impressions,impressions_rpm,clicks,ctr,viewability,cost_per_click,ad_requests,ad_requests_coverage
2026-W31,ANCHOR,Desktop,0.00,10,26.00,0,0.0000,0.8000,0.00,29,0.3448
2026-W31,ANCHOR,HighEndMobile,3.00,39,78.00,1,0.0256,0.8000,3.00,42,0.9286
2026-W31,ANCHOR,Tablet,0.00,5,24.00,1,0.2000,0.8000,0.00,5,1.0000
2026-W31,INTERSTITIAL,Desktop,51.00,554,92.00,5,0.0090,0.9224,10.00,2569,0.5874
2026-W31,INTERSTITIAL,HighEndMobile,22.00,210,104.00,22,0.1048,0.7602,1.00,1120,0.7929
2026-W31,INTERSTITIAL,Tablet,2.00,18,133.00,0,0.0000,1.0000,0.00,38,1.0000
2026-W31,ON_PAGE,Desktop,34.00,2640,13.00,0,0.0000,0.4894,0.00,9333,0.2888
2026-W31,ON_PAGE,HighEndMobile,4.00,495,8.00,3,0.0061,0.2860,1.00,2037,0.2572
2026-W31,ON_PAGE,Tablet,0.00,74,5.00,0,0.0000,0.3836,0.00,123,0.6260
2026-W31,SHOPPING_ANCHOR,Desktop,1.00,12,72.00,1,0.0833,0.7500,1.00,17,0.7059
2026-W31,SHOPPING_ANCHOR,HighEndMobile,3.00,17,164.00,0,0.0000,0.5385,0.00,19,1.0000
2026-W31,SHOPPING_CHIP,Desktop,12.00,63,195.00,1,0.0159,0.5873,12.00,68,0.9412
2026-W31,SHOPPING_CHIP,HighEndMobile,3.00,11,285.00,0,0.0000,0.3333,0.00,14,0.9286
2026-W31,SHOPPING_CHIP,Tablet,0.00,4,88.00,0,0.0000,0.5000,0.00,6,1.0000
2026-W31,SHOPPING_LINK,Desktop,8.00,42,201.00,2,0.0476,0.5476,4.00,51,0.8627
2026-W31,SHOPPING_LINK,HighEndMobile,2.00,10,171.00,0,0.0000,0.6250,0.00,12,1.0000
2026-W32,ANCHOR,Desktop,2.00,30,58.00,0,0.0000,0.8333,0.00,52,0.6538
2026-W32,ANCHOR,HighEndMobile,1.00,7,128.00,0,0.0000,0.8571,0.00,9,1.0000
2026-W32,INTERSTITIAL,Desktop,61.00,549,112.00,4,0.0073,0.9326,15.00,3088,0.5003
2026-W32,INTERSTITIAL,HighEndMobile,14.00,166,87.00,28,0.1687,0.7949,1.00,1075,0.7944
2026-W32,INTERSTITIAL,Tablet,2.00,10,174.00,0,0.0000,0.6250,0.00,48,1.0000
2026-W32,ON_PAGE,Desktop,33.00,2650,13.00,0,0.0000,0.4675,0.00,10162,0.2657
2026-W32,ON_PAGE,HighEndMobile,5.00,632,8.00,1,0.0016,0.2984,5.00,1909,0.3457
2026-W32,ON_PAGE,Tablet,0.00,41,8.00,0,0.0000,0.2195,0.00,86,0.5116
2026-W32,SHOPPING_ANCHOR,Desktop,0.00,0,0.00,0,0.0000,0.0000,0.00,2,0.0000
2026-W32,SHOPPING_ANCHOR,HighEndMobile,0.00,5,86.00,0,0.0000,0.0000,0.00,6,1.0000
2026-W32,SHOPPING_CHIP,Desktop,8.00,42,201.00,1,0.0238,0.4762,8.00,42,1.0000
2026-W32,SHOPPING_CHIP,HighEndMobile,1.00,6,85.00,0,0.0000,0.3333,0.00,6,1.0000
2026-W32,SHOPPING_CHIP,Tablet,0.00,1,9.00,0,0.0000,1.0000,0.00,3,0.3333
2026-W32,SHOPPING_LINK,Desktop,1.00,10,81.00,0,0.0000,0.7000,0.00,17,0.7647
2026-W32,UNFILLED_FALLBACK_TERM,Desktop,1.00,3,416.00,0,0.0000,0.6667,0.00,3,1.0000
